Train Loss	Train Loss X	Train Loss U	Valid Loss	Valid Acc.	
1.620151	1.620147	0.007942	2.605314	17.325000	
1.354786	1.354771	0.010015	2.663259	15.487500	
1.213609	1.213583	0.010778	2.196054	27.012500	
1.163297	1.163257	0.011548	1.494167	48.487500	
1.119166	1.119112	0.012299	0.986356	67.725000	
1.020355	1.020288	0.012455	0.763479	75.062500	
1.004061	1.003977	0.013206	0.691689	77.987500	
0.969886	0.969788	0.013457	0.663980	79.275000	
0.950487	0.950374	0.013633	0.660951	79.650000	
0.926922	0.926795	0.013728	0.654780	80.037500	
0.931186	0.931044	0.013906	0.641526	80.462500	
0.928645	0.928488	0.013985	0.644500	80.400000	
0.914324	0.914153	0.013990	0.632856	81.325000	
0.848670	0.848491	0.013570	0.628836	81.325000	
0.883876	0.883677	0.014043	0.620720	81.475000	
0.877046	0.876835	0.013979	0.614724	81.575000	
0.881627	0.881398	0.014193	0.614504	81.487500	
0.875427	0.875185	0.014174	0.613136	81.850000	
0.844176	0.843924	0.013944	0.605592	81.912500	
0.869210	0.868942	0.014099	0.598096	82.337500	
0.847058	0.846778	0.013952	0.593114	82.275000	
0.860841	0.860540	0.014357	0.587504	82.800000	
0.829928	0.829623	0.013878	0.584531	82.950000	
0.848269	0.847941	0.014301	0.584519	83.025000	
0.808483	0.808151	0.013854	0.573848	83.112500	
0.814497	0.814148	0.014003	0.565152	83.587500	
0.835564	0.835192	0.014341	0.569816	83.487500	
0.833276	0.832891	0.014345	0.567575	83.600000	
0.817544	0.817150	0.014135	0.562193	83.600000	
0.815680	0.815272	0.014150	0.558618	83.975000	
0.811888	0.811465	0.014184	0.560502	83.650000	
0.787747	0.787316	0.014020	0.558112	83.687500	
0.813092	0.812637	0.014346	0.558296	84.150000	
0.803853	0.803388	0.014217	0.545898	84.275000	
0.811278	0.810795	0.014344	0.547553	84.262500	
0.803440	0.802942	0.014362	0.544742	84.250000	
0.790902	0.790392	0.014310	0.540460	84.437500	
0.803753	0.803225	0.014410	0.539585	84.437500	
0.773583	0.773047	0.014248	0.536822	84.887500	
0.786819	0.786272	0.014184	0.537891	84.462500	
0.793653	0.793084	0.014376	0.534751	84.537500	
0.794319	0.793739	0.014325	0.533270	84.837500	
0.809091	0.808490	0.014472	0.532585	84.750000	
0.802854	0.802244	0.014371	0.531225	84.862500	
0.776441	0.775822	0.014262	0.528937	84.750000	
0.763968	0.763338	0.014194	0.520073	85.087500	
0.781591	0.780937	0.014407	0.522044	85.012500	
0.814893	0.814207	0.014786	0.527033	85.037500	
0.778660	0.777974	0.014494	0.526377	84.762500	
0.750560	0.749879	0.014090	0.517640	84.962500	
0.791731	0.791014	0.014534	0.522885	85.125000	
0.764376	0.763666	0.014105	0.518743	85.125000	
0.744720	0.743997	0.014105	0.512677	85.387500	
0.805086	0.804311	0.014831	0.515024	85.212500	
0.780862	0.780095	0.014417	0.512769	85.675000	
0.752385	0.751617	0.014155	0.509104	85.475000	
0.757404	0.756613	0.014335	0.508285	85.612500	
0.781846	0.781030	0.014535	0.513406	85.675000	
0.776649	0.775827	0.014380	0.513110	85.600000	
0.751795	0.750971	0.014182	0.506582	85.625000	
0.766008	0.765151	0.014495	0.507753	85.612500	
0.767300	0.766434	0.014409	0.508020	85.650000	
0.766383	0.765514	0.014252	0.506423	85.937500	
0.771387	0.770488	0.014509	0.507798	85.562500	
0.753035	0.752129	0.014377	0.499668	85.912500	
0.741538	0.740634	0.014132	0.498145	85.825000	
0.746589	0.745661	0.014289	0.497498	85.950000	
0.765062	0.764109	0.014452	0.494854	86.262500	
0.754707	0.753747	0.014353	0.501437	86.262500	
0.751228	0.750258	0.014292	0.497530	85.862500	
0.731927	0.730958	0.014078	0.496316	86.087500	
0.761474	0.760465	0.014451	0.497162	86.187500	
0.737144	0.736134	0.014254	0.495121	86.125000	
0.749253	0.748214	0.014468	0.497432	86.312500	
0.752301	0.751256	0.014365	0.498570	85.837500	
0.745445	0.744399	0.014189	0.501603	85.925000	
0.748788	0.747718	0.014325	0.496204	86.287500	
0.771599	0.770501	0.014510	0.493171	86.225000	
0.728237	0.727156	0.014095	0.488967	86.350000	
0.729089	0.727979	0.014293	0.488997	86.100000	
0.747497	0.746352	0.014566	0.490805	85.950000	
0.734157	0.733024	0.014236	0.490627	85.850000	
0.755309	0.754140	0.014500	0.492134	86.162500	
0.731654	0.730501	0.014140	0.492932	86.000000	
0.769080	0.767872	0.014637	0.492463	86.087500	
0.728520	0.727329	0.014257	0.488785	86.287500	
0.739619	0.738405	0.014372	0.483050	86.325000	
0.738016	0.736784	0.014422	0.484055	86.225000	
0.748242	0.746997	0.014405	0.483439	86.400000	
0.718329	0.717086	0.014214	0.481146	86.237500	
0.731169	0.729897	0.014384	0.484392	86.000000	
0.750446	0.749148	0.014522	0.485218	86.325000	
0.727989	0.726688	0.014397	0.481689	86.412500	
0.717909	0.716625	0.014066	0.483659	86.325000	
0.757138	0.755798	0.014519	0.488800	86.237500	
0.721700	0.720375	0.014214	0.485853	86.362500	
0.738261	0.736890	0.014546	0.484369	86.387500	
0.732421	0.731061	0.014293	0.485505	86.575000	
0.714133	0.712766	0.014211	0.482970	86.387500	
0.724734	0.723340	0.014352	0.479460	86.550000	
0.750857	0.749436	0.014482	0.484319	86.400000	
0.737433	0.736013	0.014325	0.482887	86.662500	
0.744078	0.742629	0.014470	0.482193	86.412500	
0.717925	0.716503	0.014061	0.480298	86.587500	
0.732074	0.730602	0.014424	0.478878	86.725000	
0.720860	0.719405	0.014123	0.482681	86.662500	
0.723677	0.722196	0.014248	0.480845	86.675000	
0.720281	0.718779	0.014311	0.477614	86.575000	
0.737953	0.736433	0.014345	0.479343	86.437500	
0.718435	0.716919	0.014182	0.477615	86.662500	
0.719946	0.718396	0.014365	0.480565	86.812500	
0.715915	0.714370	0.014186	0.477330	86.662500	
0.744168	0.742573	0.014518	0.476330	86.650000	
0.718554	0.716978	0.014217	0.475735	86.550000	
0.724233	0.722627	0.014360	0.480815	86.537500	
0.731551	0.729928	0.014394	0.477795	86.712500	
0.728206	0.726590	0.014206	0.477917	86.437500	
0.702467	0.700848	0.014113	0.474382	86.675000	
0.729475	0.727811	0.014387	0.471399	86.912500	
0.730586	0.728900	0.014444	0.467761	86.850000	
0.721238	0.719562	0.014249	0.468628	86.825000	
0.716698	0.714997	0.014337	0.465256	86.900000	
0.717080	0.715366	0.014331	0.467983	86.862500	
0.707787	0.706092	0.014049	0.468473	86.937500	
0.715528	0.713786	0.014327	0.467430	86.925000	
0.717246	0.715480	0.014413	0.467647	86.875000	
0.719662	0.717906	0.014215	0.469397	87.050000	
0.718339	0.716550	0.014367	0.465058	87.000000	
0.726330	0.724516	0.014452	0.468823	86.900000	
0.721628	0.719809	0.014382	0.472829	86.725000	
0.719142	0.717299	0.014461	0.469784	86.900000	
0.710889	0.709049	0.014331	0.458929	87.250000	
0.723933	0.722062	0.014461	0.461304	87.325000	
0.726116	0.724251	0.014303	0.459737	87.112500	
0.718352	0.716470	0.014333	0.457745	87.125000	
0.716878	0.714979	0.014349	0.458695	87.300000	
0.715597	0.713702	0.014216	0.459413	87.412500	
0.697350	0.695445	0.014184	0.461271	87.425000	
0.689127	0.687233	0.013999	0.455686	87.537500	
0.710151	0.708214	0.014218	0.457509	87.275000	
0.708910	0.706967	0.014159	0.462089	87.050000	
0.698082	0.696123	0.014175	0.459312	87.225000	
0.713959	0.711976	0.014251	0.450024	87.637500	
0.716127	0.714114	0.014361	0.450986	87.550000	
0.694647	0.692659	0.014090	0.454241	87.512500	
0.729371	0.727326	0.014392	0.459242	87.337500	
0.704978	0.702961	0.014099	0.459385	87.100000	
0.728095	0.726033	0.014314	0.458195	87.187500	
0.708549	0.706483	0.014246	0.450457	87.337500	
0.720649	0.718548	0.014390	0.448882	87.800000	
0.699578	0.697497	0.014162	0.451765	87.425000	
0.725775	0.723649	0.014373	0.452767	87.450000	
0.705098	0.702969	0.014294	0.450873	87.487500	
0.735351	0.733160	0.014622	0.455956	87.575000	
0.727516	0.725345	0.014393	0.459191	87.250000	
0.701872	0.699716	0.014197	0.457240	87.425000	
0.706535	0.704354	0.014273	0.453496	87.212500	
0.729563	0.727341	0.014447	0.452876	87.512500	
0.702104	0.699913	0.014156	0.449756	87.600000	
0.696361	0.694156	0.014154	0.452675	87.375000	
0.719561	0.717321	0.014287	0.449886	87.800000	
0.713694	0.711460	0.014161	0.450354	87.750000	
0.701514	0.699267	0.014159	0.448505	87.550000	
0.700019	0.697766	0.014110	0.450159	87.400000	
0.705562	0.703279	0.014207	0.452631	87.412500	
0.694014	0.691737	0.014094	0.452881	87.600000	
0.684057	0.681797	0.013897	0.455090	87.325000	
0.699958	0.697655	0.014074	0.450608	87.487500	
0.698204	0.695894	0.014038	0.454762	87.075000	
0.709031	0.706656	0.014345	0.449514	87.312500	
0.709597	0.707212	0.014328	0.449779	87.787500	
0.678891	0.676536	0.014060	0.446760	87.725000	
0.701711	0.699328	0.014146	0.445592	87.712500	
0.692437	0.690024	0.014241	0.449723	87.262500	
0.693649	0.691238	0.014149	0.445428	87.587500	
0.711771	0.709334	0.014220	0.447135	87.412500	
0.711356	0.708895	0.014280	0.449205	87.400000	
0.707284	0.704832	0.014142	0.448130	87.487500	
0.692651	0.690190	0.014120	0.446787	87.387500	
0.681732	0.679262	0.014088	0.443757	87.537500	
0.708366	0.705844	0.014309	0.441165	87.700000	
0.717738	0.715211	0.014254	0.443863	87.475000	
0.702540	0.700019	0.014144	0.441430	87.387500	
0.695453	0.692901	0.014243	0.445417	87.400000	
0.717124	0.714575	0.014147	0.449758	87.225000	
0.696341	0.693781	0.014134	0.445233	87.587500	
0.701756	0.699197	0.014051	0.443806	87.775000	
0.712660	0.710057	0.014213	0.447936	87.400000	
0.699761	0.697154	0.014165	0.444890	87.450000	
0.710717	0.708106	0.014112	0.447691	87.800000	
0.690345	0.687748	0.013962	0.444235	87.550000	
0.725080	0.722385	0.014413	0.444244	87.837500	
0.681740	0.679087	0.014113	0.440566	87.800000	
0.693365	0.690703	0.014087	0.444107	87.550000	
0.694648	0.691953	0.014188	0.439429	87.712500	
0.702842	0.700146	0.014123	0.439717	87.950000	
0.689720	0.687020	0.014067	0.436399	87.962500	
0.700908	0.698170	0.014197	0.437150	87.975000	
0.689700	0.686967	0.014099	0.436786	87.787500	
0.703065	0.700331	0.014038	0.439981	87.812500	
0.677726	0.674997	0.013942	0.438004	87.662500	
0.715721	0.712890	0.014388	0.439019	87.737500	
0.701868	0.699086	0.014066	0.438911	87.800000	
0.689455	0.686651	0.014109	0.438873	87.987500	
0.708084	0.705224	0.014321	0.440159	87.800000	
0.702520	0.699668	0.014213	0.439314	87.950000	
0.692180	0.689345	0.014060	0.439013	88.025000	
0.693262	0.690411	0.014071	0.437479	88.087500	
0.700771	0.697866	0.014267	0.440690	87.987500	
0.684529	0.681631	0.014162	0.435668	88.037500	
0.690103	0.687201	0.014115	0.433244	87.900000	
0.686393	0.683509	0.013963	0.435730	88.112500	
0.688237	0.685339	0.013966	0.436605	87.887500	
0.709711	0.706741	0.014245	0.436357	87.937500	
0.686903	0.683957	0.014064	0.441970	87.612500	
0.713512	0.710513	0.014251	0.438672	87.700000	
0.662773	0.659842	0.013862	0.436487	87.612500	
0.688483	0.685500	0.014044	0.432174	87.912500	
0.692953	0.689914	0.014241	0.431871	87.812500	
0.703911	0.700850	0.014279	0.433581	88.075000	
0.700142	0.697118	0.014045	0.431219	88.237500	
0.684902	0.681870	0.014016	0.433034	88.100000	
0.691028	0.688000	0.013933	0.435362	87.737500	
0.701320	0.698248	0.014077	0.438209	87.812500	
0.700549	0.697473	0.014034	0.438506	87.750000	
0.684552	0.681492	0.013898	0.437671	87.875000	
0.678813	0.675738	0.013904	0.432416	87.825000	
0.702001	0.698849	0.014190	0.432455	87.987500	
0.684426	0.681256	0.014207	0.437249	87.837500	
0.706137	0.702920	0.014356	0.433415	87.900000	
0.703854	0.700698	0.014020	0.436746	87.762500	
0.699457	0.696252	0.014178	0.439423	87.862500	
0.685228	0.682032	0.014077	0.432809	88.037500	
0.685193	0.682030	0.013874	0.437617	87.537500	
0.694526	0.691307	0.014056	0.441032	87.662500	
0.670170	0.666993	0.013813	0.442290	87.337500	
0.696609	0.693341	0.014149	0.440471	87.500000	
0.682208	0.678937	0.014104	0.439377	87.550000	
0.680780	0.677525	0.013973	0.439028	87.700000	
0.675465	0.672207	0.013929	0.430786	87.712500	
0.716106	0.712760	0.014244	0.430860	87.700000	
0.697998	0.694670	0.014112	0.431140	88.012500	
0.703970	0.700616	0.014164	0.429999	88.037500	
0.683359	0.680050	0.013918	0.431920	87.900000	
0.688852	0.685491	0.014075	0.431763	88.000000	
0.683952	0.680630	0.013856	0.432833	87.800000	
0.696363	0.692995	0.013994	0.439626	87.712500	
0.702792	0.699379	0.014122	0.436476	87.962500	
0.684889	0.681506	0.013939	0.435146	88.050000	
0.690356	0.686930	0.014062	0.427440	88.175000	
0.704573	0.701142	0.014024	0.433899	88.100000	
0.685080	0.681643	0.013997	0.433948	88.075000	
0.695355	0.691876	0.014108	0.434986	87.875000	
0.679212	0.675792	0.013814	0.432292	87.937500	
0.682768	0.679328	0.013839	0.434433	87.937500	
0.676213	0.672746	0.013897	0.430060	88.112500	
0.696704	0.693161	0.014145	0.430079	88.225000	
0.684561	0.681083	0.013831	0.428675	88.037500	
0.683421	0.679877	0.014039	0.432642	87.850000	
0.681201	0.677671	0.013932	0.429051	88.112500	
0.690237	0.686668	0.014029	0.431359	88.062500	
0.693797	0.690264	0.013832	0.427620	88.250000	
0.678558	0.675035	0.013746	0.429250	88.150000	
0.689761	0.686162	0.013983	0.428946	87.975000	
0.684896	0.681275	0.014018	0.425668	88.225000	
0.696141	0.692523	0.013956	0.427091	88.175000	
0.665701	0.662118	0.013767	0.428481	88.112500	
0.676844	0.673233	0.013825	0.426617	88.050000	
0.672715	0.669110	0.013747	0.428809	88.125000	
0.681641	0.677990	0.013873	0.433817	87.862500	
0.692831	0.689112	0.014078	0.433715	87.837500	
0.660555	0.656926	0.013686	0.422624	88.225000	
0.678863	0.675193	0.013791	0.425119	88.275000	
0.671406	0.667741	0.013723	0.421646	88.387500	
0.697379	0.693645	0.013927	0.420130	88.462500	
0.701004	0.697218	0.014070	0.426541	88.237500	
0.697979	0.694185	0.014051	0.426832	88.150000	
0.664303	0.660605	0.013643	0.422990	88.287500	
0.670732	0.666969	0.013836	0.428286	88.312500	
0.679378	0.675640	0.013693	0.424800	88.275000	
0.681297	0.677517	0.013799	0.420846	88.387500	
0.674138	0.670353	0.013770	0.421645	88.362500	
0.665920	0.662120	0.013772	0.421546	88.300000	
0.689173	0.685291	0.014022	0.425054	87.925000	
0.684739	0.680878	0.013894	0.429163	87.987500	
0.691662	0.687780	0.013925	0.434177	87.800000	
0.666254	0.662408	0.013744	0.433976	87.962500	
0.698470	0.694538	0.014007	0.429955	88.150000	
0.673503	0.669638	0.013717	0.429241	88.275000	
0.691739	0.687843	0.013782	0.430510	88.037500	
0.684715	0.680767	0.013913	0.423289	88.350000	
0.683248	0.679323	0.013789	0.425276	88.287500	
0.691504	0.687520	0.013946	0.430424	88.062500	
0.690722	0.686728	0.013934	0.428253	88.137500	
0.662204	0.658298	0.013581	0.427552	88.262500	
0.678103	0.674132	0.013759	0.429774	88.012500	
0.671771	0.667778	0.013791	0.427681	88.062500	
0.680735	0.676708	0.013860	0.425518	88.112500	
0.692919	0.688864	0.013913	0.425037	88.125000	
0.685859	0.681807	0.013852	0.422848	88.387500	
0.678066	0.674058	0.013658	0.422204	88.437500	
0.676010	0.671981	0.013685	0.419635	88.612500	
